Gate,Qubit
cx,"0,4"
cx,"1,2"
cx,"2,5"
cx,"3,0"
cx,"4,0"
cx,"5,4"
cx,"6,1"
h,0
z,0
z,0
id,0
y,0
z,0
z,0
x,0
z,0
h,0
z,0
z,0
h,0
id,0
h,0
id,0
y,0
y,0
z,0
y,1
y,1
h,1
x,1
z,1
y,1
id,1
id,1
id,1
y,1
x,1
z,1
h,1
x,1
h,1
z,1
x,1
z,1
y,1
id,2
h,2
x,2
id,2
z,2
id,2
y,2
x,2
h,2
id,2
x,2
id,2
y,2
h,2
id,2
y,2
h,2
x,2
x,2
y,3
y,3
id,3
h,3
y,3
y,3
id,3
z,3
x,3
x,3
y,3
x,3
x,3
z,3
z,3
z,3
y,3
z,3
id,3
y,4
id,4
z,4
h,4
x,4
z,4
z,4
h,4
y,4
h,4
z,4
x,4
h,4
y,4
z,4
x,4
id,4
y,4
z,4
x,5
id,5
z,5
x,5
x,5
y,5
h,5
id,5
x,5
z,5
z,5
y,5
x,5
z,5
h,5
z,5
x,5
h,5
id,5
id,6
id,6
x,6
h,6
id,6
h,6
h,6
id,6
x,6
z,6
h,6
z,6
id,6
y,6
h,6
y,6
id,6
y,6
y,6
